ComID,TotDASqKm,QA_MA_cfs,QA_MA_cms
800036790,-9999,0,0
800028490,-9999,0,0
800036680,-9999,0,0
800039289,-9999,0,0
800041115,-9999,0,0
800026540,-9999,0,0
800034490,-9999,0,0
800039382,-9999,0,0
800032372,-9999,0,0
800041215,-9999,0,0
800041352,-9999,0,0
800024473,-9999,0,0
800024474,-9999,0,0
800024475,-9999,0,0
800024476,-9999,0,0
800033101,-9999,0,0
800035220,-9999,0,0
800035221,-9999,0,0
800035222,-9999,0,0
800037384,-9999,0,0
800037405,-9999,0,0
800039542,-9999,0,0
800039563,-9999,0,0
800039564,-9999,0,0
800030959,-9999,0,0
800034491,-9999,0,0
800039562,-9999,0,0
800026841,-9999,0,0
800032373,-9999,0,0
800035384,-9999,0,0
800035386,-9999,0,0
800037475,-9999,0,0
800037553,-9999,0,0
800037556,-9999,0,0
800037557,-9999,0,0
800039717,-9999,0,0
800033255,-9999,0,0
800033281,-9999,0,0
800033282,-9999,0,0
800033311,-9999,0,0
800024693,-9999,0,0
800031170,-9999,0,0
800041232,-9999,0,0
800024722,-9999,0,0
800041532,-9999,0,0
800030235,-9999,0,0
800033340,-9999,0,0
800037638,-9999,0,0
800024862,-9999,0,0
800029176,-9999,0,0
800037785,-9999,0,0
800031349,-9999,0,0
800032374,-9999,0,0
800029220,-9999,0,0
800031415,-9999,0,0
800028092,67.312,0,0
800032815,85.9932,0,0
800034965,60.4615,0,0
800037096,69.8145,0,0
800039249,69.8145,0,0
800026486,44.4322,0,0
800032908,32.1517,0,0
800039404,37.92,0,0
800024344,2.8151,0,0
800026537,0.4864,0,0
800035193,540.7837,0,0
800033086,0.2406,0,0
800024469,518.891,0,0
800028763,519.8367,0,0
800028781,517.1594,0,0
800026684,454.6972,0,0
800039559,454.618,0,0
800033099,449.2589,0,0
800024497,448.7176,0,0
800028780,448.5276,0,0
800032369,446.3017,0,0
800037425,448.5533,0,0
800039561,446.3192,0,0
800031171,458.0178,0,0
800033312,453.2136,0,0
800035450,450.0419,0,0
800035452,448.6338,0,0
800031164,439.8636,0,0
800033305,433.6597,0,0
800035451,447.0511,0,0
800037630,409.7185,0,0
800033362,404.2732,0,0
800033363,404.7808,0,0
800029042,401.3838,0,0
