,state,feature_id,dam_name,stream_name,watershed_huc2,region,latitude,longitude,StrOrder,TotDA.SqKm,AvgAnnualQ.CS,dam_length_m,Removal_year,Built_year,DamPurpose,DamMaterial,DamMaterialCat,dam_height_m,HtCategory,number_removed_project,project_identifier,multi_dam_flag,DR_Cost,RemovalReason,SedimentManagement,ContaminatedSediment,MitigationDrivers,PostRemovalDrivers,TOTAL_DRIVERS,SD_score,MD_score,PR_score,Tot_Drivers,CostEst_StAdj
1,AK,c33b5ece-57ba-4c3c-ba0f-f0145432180f,Davidson Ditch Diversion Dam,Chatanika River,Alaska Region,Northwest,65.2928,-146.404,NA,NA,NA,NA,2002,NA,water supply,sheet piling,1,NA,less than 5,1,NA,0,262490,Restoration,NA,NA,NA,NA,0,0,0,0,0,248552.4779
2,AK,d26ed015-6d00-47fb-b409-3868c8dee741,Lower Eklutna River Dam,Eklutna,Alaska Region,Northwest,61.449393,-149.32388,NA,NA,NA,NA,2017,1929,power,concrete,3,21.3,greater than 10,1,NA,0,8237360,"Safety,Restoration","ErosionControl,Sed removal",NA,CofferDam,"Revegetation,EcologicalMonitoring,Fish.Passage,StrucRemovalSafety,Access.Roads",8,2,1,5,8,7799978.053
3,AL,a896aa21-0a18-4905-9d65-c628f4e6bcaf,Livingston Dam,Sucarnoochee River,South Atlantic-Gulf Region,Southeast,32.588457,-88.197545,5,1557.1458,27.22172126,28,2019,1979,water supply,concrete,3,NA,less than 5,1,NA,0,50517,"Safety,Restoration",NA,NA,CofferDam,"EcologicalMonitoring,StrucRemovalSafety",3,0,1,2,3,60059.1
4,AL,22af5f9e-5e46-488b-be0e-367cad269142,Marvel Slab Dam,Cahaba River,South Atlantic-Gulf Region,Southeast,33.165092,-87.029534,6,1443.7737,26.52914782,66.5,2004,1970,other,concrete,3,1.5,less than 5,1,NA,0,355106,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,422181.5778
5,AZ,975c5ab6-013d-4182-a6f8-f70e9074c479,Fossil Creek Dam,Fossil Creek,Lower Colorado Region,Southwest,34.4213,-111.5759,3,151.0542,0.668136005,16.5,2008,1909,power,"concrete, masonry",3,7.9,between 5 and 10,1,NA,0,16905765,Restoration,NA,NA,NA,"Eradicate.Invasives,StrucRemovalSafety,Other",3,0,0,3,3,18648627.37
6,CA,8320bfca-ead9-4fa1-aa6f-83368c6892eb,Hjfd11,Holy Jim Creek,California Region,Southwest,33.68381514,-117.515112,2,8.2764,0.052046365,NA,2018,NA,recreation and resource management,masonry,3,0.3,less than 5,18,HJC002,1,2652,Restoration,NA,NA,NA,NA,0,0,0,0,0,2288.419355
7,CA,22041872-c729-4afe-9c62-b0368535f087,Benbow Dam,South Fork Eel River,California Region,Southwest,40.0666,-123.7961,5,1132.2486,53.89188697,83,2016,1931,power,concrete,3,6.1,between 5 and 10,1,NA,0,2868097,Restoration,NA,0,"CofferDam,BankProtection","Revegetation,Stability.Structures,Access.Roads,Public.Interpr.Facility",7,0,2,4,6,2474890.153
8,CA,64f22fc4-9e98-49d6-9fe0-e327414f0e72,Mcgowan Dam,Butte Creek,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,water supply,concrete,3,1.8,less than 5,4,BC001,1,2912716,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,2513392.032
9,CA,b337bb01-adf1-4e74-b78f-0aa2afab21b5,Scfd12,Silverado Creek,California Region,Southwest,33.75222714,-117.568092,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,1.2,less than 5,4,SC001,1,52719,Restoration,NA,NA,NA,NA,0,0,0,0,0,45491.39516
10,CA,848252a1-32d1-4095-ada5-39ec81660a61,Araujo Dam,Shasta River,California Region,Southwest,41.68764,-122.53,5,943.137,12.98505831,9,2007,1856,water supply,concrete,3,NA,less than 5,1,NA,0,3863837,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,3334117.411
11,CA,bb63989b-2156-4f73-8fd1-39402918ac13,Sjfd6,San Juan Creek,California Region,Southwest,33.59081143,-117.5014978,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1,less than 5,10,SJC002,1,2322,Restoration,NA,NA,NA,NA,0,0,0,0,0,2003.66129
12,CA,605d1b84-1fd5-48e6-a720-4a86bf2fc0ce,Unnamed Small Dam #2,Guadalupe River,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,unknown,unknown,,NA,unknown,2,GR002,1,323202,NA,NA,NA,NA,NA,0,0,0,0,0,278892.0484
13,CA,87c02f29-b8ca-4112-b2bd-09099c9fe152,Wildcat Dam,Battle Creek,California Region,Southwest,40.42024,-121.961,4,481.9068,11.6644172,11.5,2009,1912,"power, water supply",unknown,,2.4,less than 5,1,NA,0,2686704,Restoration,NA,NA,NA,NA,0,0,0,0,0,2318365.548
14,CA,f9610bbb-03a7-4ad9-a052-9c963377f592,Hjfd19,Holy Jim Creek,California Region,Southwest,33.68914814,-117.51172,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,0.8,less than 5,5,HJC001,1,22304,Restoration,NA,NA,NA,NA,0,0,0,0,0,19246.19355
15,CA,0a3304a2-4573-4fe6-a4da-44394a5c6066,Dennett Dam,Tuolumne River,California Region,Southwest,37.62733,-120.98784,6,4737.5694,85.94848332,33,2018,1933,recreation and resource management,"sheet piling, wood",1,3,less than 5,1,NA,0,1683984,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,1453115.226
16,CA,3233825a-b2d0-4ccf-a168-ccaaf9d7beee,Rodeo Grounds Berm,Topanga Creek,California Region,Southwest,34.04189,-118.57961,3,50.9481,0.294240357,NA,2008,NA,unknown,earth,1,5.5,between 5 and 10,1,NA,0,4291463,Restoration,Sed removal,1,NA,"Revegetation,Eradicate.Invasives,Stability.Structures",5,2,0,3,5,3703117.266
17,CA,f76c640e-7e30-4b8d-a991-7a90d0c2ddfb,Glenbrook Gulch Dam,Glenbrook Gulch (Albion River),California Region,Southwest,39.26526,-123.669,1,2.1771,0.045476856,NA,2010,NA,water supply,earth,1,3,less than 5,1,NA,0,612491,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,528520.4597
18,CA,6b0b9291-a205-492a-9d60-89ce8c27dbed,Hjfd22,Holy Jim Creek,California Region,Southwest,33.69085714,-117.51185,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.5,less than 5,18,HJC002,1,13259,Restoration,NA,NA,NA,NA,0,0,0,0,0,11441.23387
19,CA,6d5154b9-2a4c-4239-a85c-08bd6b67c84d,Hjfd1,Holy Jim Creek,California Region,Southwest,33.67930715,-117.517196,2,8.2764,0.052046365,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,18,HJC002,0,7071,Restoration,NA,NA,NA,NA,0,0,0,0,0,6101.58871
20,CA,e46ff535-498c-4484-a5f3-df4bb8fca752,San Clemente Dam,Carmel River,California Region,Southwest,36.435712,-121.708571,5,329.8554,4.812731316,85.5,2015,1921,water supply,concrete,3,31.7,greater than 10,1,NA,0,98186130,"Safety,Restoration",ReservoirStab,NA,"CofferDam,RiverHabFeature","Revegetation,Fish.Passage,Stability.Structures,Access.Roads",7,1,2,4,7,84725128.31
21,CA,96fe371e-ea6b-4ec5-8c3f-91eaa867a275,Murphy Creek Dam,Murphy Creek,California Region,Southwest,38.234,-121.0266,2,10.3734,0.038680813,50,2003,1975,water supply,earth,1,2.7,less than 5,1,NA,0,1244091,Restoration,NA,NA,NA,Revegetation,1,0,0,1,1,1073530.137
22,CA,593d9892-e191-40c2-ae83-877f307e3261,Sjfd5,San Juan Creek,California Region,Southwest,33.59077823,-117.5015405,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.5,less than 5,10,SJC002,1,3483,Restoration,NA,NA,NA,NA,0,0,0,0,0,3005.491935
23,CA,6a54af89-c089-4b2b-bdff-92ea2d609a54,Hjfd41,Holy Jim Creek,California Region,Southwest,33.69345114,-117.514226,1,2.1204,0.016990108,NA,2018,NA,recreation and resource management,masonry,3,0.9,less than 5,18,HJC002,1,7955,Restoration,NA,NA,NA,NA,0,0,0,0,0,6864.395161
24,CA,07771ed0-5e67-47b9-9b8c-c9653b6ad72b,Hjfd18,Holy Jim Creek,California Region,Southwest,33.68899014,-117.511759,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,1.1,less than 5,5,HJC001,1,30668,Restoration,NA,NA,NA,NA,0,0,0,0,0,26463.51613
25,CA,101b96e9-5355-4282-a94c-3608fcdb4bad,Scfd10,Silverado Creek,California Region,Southwest,33.75190814,-117.570491,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,2.3,less than 5,4,SC001,0,101045,Restoration,NA,NA,NA,NA,0,0,0,0,0,87192.05645
26,CA,4661c39e-33ec-4d1c-892b-0b13b4ebecf3,Sjfd11,San Juan Creek,California Region,Southwest,33.59060515,-117.499826,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.2,less than 5,4,SJC001,1,5957,Restoration,NA,NA,NA,NA,0,0,0,0,0,5140.314516
27,CA,a50c6f0d-4339-43c9-8746-dbbe20577a38,Beale Dam,Dry Creek,California Region,Southwest,39.108423,-121.338499,4,206.2161,2.785386655,46,2020,1943,recreation and resource management,concrete ,3,3.7,less than 5,1,NA,0,3436500,"Safety,Restoration,Economic","ReservoirStab,Sed removal",NA,"CofferDam,RiverHabFeature,Bridges,Roads",Revegetation,7,2,4,1,7,2965366.935
28,CA,eb263e4c-c8be-4036-9d0a-bf897f876377,Hjfd21,Holy Jim Creek,California Region,Southwest,33.69067414,-117.511821,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,2.2,less than 5,18,HJC002,1,19446,Restoration,NA,NA,NA,NA,0,0,0,0,0,16780.01613
29,CA,b834929e-784d-4ccc-ad50-35de6beee18c,Hall Wines Dam,Dry Creek,California Region,Southwest,38.37706,-122.316,3,74.8701,1.229234328,16.5,2008,1960,water supply,concrete,3,NA,unknown,1,NA,0,390133,Restoration,NA,NA,BankProtection,"ReshapeTopography,Revegetation",3,0,1,2,3,336647.0242
30,CA,0775b4e3-3795-4eaa-8411-41d78831c5d8,Hjfd40,Holy Jim Creek,California Region,Southwest,33.69344114,-117.514166,1,2.1204,0.016990108,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,18,HJC002,1,7071,Restoration,NA,NA,NA,NA,0,0,0,0,0,6101.58871
31,CA,fdbb266c-b679-45f8-9122-7442b4556130,Cahill Dam,Branciforte Creek,California Region,Southwest,37.03797,-121.986,1,10.0521,0.166644645,NA,2013,1931,"recreation and resource management, water supply","concrete, masonry",3,2.4,less than 5,1,NA,0,261271,Restoration,NA,NA,NA,NA,0,0,0,0,0,225451.5887
32,CA,94fff42b-aa24-4531-88b4-6e3c82e82c0e,Sjfd31,San Juan Creek,California Region,Southwest,33.59930115,-117.461361,3,53.1288,0.113663824,NA,2018,NA,recreation and resource management,masonry,3,1.3,less than 5,10,SJC002,1,3018,Restoration,NA,NA,NA,NA,0,0,0,0,0,2604.241935
33,CA,943f88bd-593e-4d53-b4b2-35a125aecac0,Hjfd23,Holy Jim Creek,California Region,Southwest,33.69109514,-117.511764,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,0.9,less than 5,18,HJC002,1,7955,Restoration,NA,NA,NA,NA,0,0,0,0,0,6864.395161
34,CA,34be39c5-0b11-4240-8003-e51eec95cc83,Bonde Weir,San Francisquito Creek,California Region,Southwest,37.44744,-122.17,4,103.3848,1.355215981,NA,2013,1908,flood control,concrete,3,0.6,less than 5,1,NA,0,346303,Restoration,NA,NA,RiverHabFeature,NA,1,0,1,0,1,298825.9758
35,CA,1fcd3546-27e8-4573-a109-7db881defa95,Unnamed Small Dam #1,Guadalupe River,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,unknown,unknown,,NA,unknown,2,GR002,0,323202,NA,NA,NA,NA,NA,0,0,0,0,0,278892.0484
36,CA,4cec037a-b8e8-4d14-ac83-9c17be6e4bc9,Sjfd1,San Juan Creek,California Region,Southwest,33.59022515,-117.501797,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,2.7,less than 5,4,SJC001,0,13404,Restoration,NA,NA,NA,NA,0,0,0,0,0,11566.35484
37,CA,d2071066-3c69-48a9-9a95-442185493d26,Hjfd31,Holy Jim Creek,California Region,Southwest,33.69232214,-117.512348,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.8,less than 5,18,HJC002,1,15911,Restoration,NA,NA,NA,NA,0,0,0,0,0,13729.65323
38,CA,2d2ef2d5-1112-46e5-b706-58c6282ebe69,Maria Ygnacio Aijian Barrier,Maria Ygnacio Creek,California Region,Southwest,34.466395,-119.794309,2,10.4373,0.077701428,NA,2014,NA,other,masonry,3,1.5,less than 5,1,NA,0,885045,Restoration,NA,NA,NA,NA,0,0,0,0,0,763708.1855
39,CA,f8bdf902-c232-46c2-9240-c3e51d9221d2,York Dam,York Creek,California Region,Southwest,38.509,-122.496,1,7.5618,0.163926227,68,2020,NA,water supply,earth,1,7.3,between 5 and 10,1,NA,0,4600000,"Safety,Restoration","ErosionControl,Sed removal",NA,"CofferDam,RiverHabFeature",ReshapeTopography,NA,2,2,1,5,3969354.839
40,CA,8437d6cd-1508-40ee-830b-676dfc37ba1a,Sjfd28,San Juan Creek,California Region,Southwest,33.59726615,-117.46245,3,53.1288,0.113663824,NA,2018,NA,recreation and resource management,masonry,3,1.3,less than 5,10,SJC002,0,3018,Restoration,NA,NA,NA,NA,0,0,0,0,0,2604.241935
41,CA,b8049b8f-dc2f-4b86-9635-f3a6d2cd24fc,Camp Meeker Dam,Dutch Bill Creek,California Region,Southwest,38.42465,-122.959,2,11.637,0.348863555,NA,2009,NA,recreation and resource management,concrete,3,3.7,less than 5,1,NA,0,1227710,Restoration,NA,NA,"RiverHabFeature,BankProtection,Bridges",Revegetation,4,0,3,1,4,1059394.919
42,CA,a1471bfb-1220-4365-8243-af366b2b065a,Hjfd2,Holy Jim Creek,California Region,Southwest,33.68053315,-117.517256,2,8.2764,0.052046365,NA,2018,NA,recreation and resource management,masonry,3,1.2,less than 5,18,HJC002,1,10607,Restoration,NA,NA,NA,NA,0,0,0,0,0,9152.814516
43,CA,068b6ba1-3c51-44c3-bff9-14e8c9937ab7,Iron Horse Dam,Green Valley Creek,California Region,Southwest,38.46321758,-122.8967539,3,82.1385,1.820631678,NA,2019,NA,water supply,"concrete, masonry",3,3,less than 5,1,NA,0,175476,Restoration,Sed removal,0,"RiverHabFeature,BankProtection",NA,4,1,2,0,3,151418.8065
44,CA,9f8b5b1e-1ba2-43c1-b041-07b7d3248c4a,Sjfd4,San Juan Creek,California Region,Southwest,33.59047015,-117.501699,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,2.7,less than 5,10,SJC002,1,6269,Restoration,NA,NA,NA,NA,0,0,0,0,0,5409.540323
45,CA,a6561fb4-db93-434c-80fd-ef4dd4e57881,Niles Dam,Alameda Creek,California Region,Southwest,37.58591,-121.963,5,1642.5882,8.551999279,31.5,2006,NA,water supply,unknown,,1.8,less than 5,2,AC001,0,627507,Restoration,NA,NA,NA,NA,0,0,0,0,0,541477.8145
46,CA,f4d9cf9f-b8c5-4314-93e3-5b30b9a44032,Sjfd30,San Juan Creek,California Region,Southwest,33.59795315,-117.461512,3,53.1288,0.113663824,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,10,SJC002,1,1857,Restoration,NA,NA,NA,NA,0,0,0,0,0,1602.41129
47,CA,4812d479-51e5-4532-8962-87c0d35b2d80,Hjfd15,Holy Jim Creek,California Region,Southwest,33.68806214,-117.512544,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,2.8,less than 5,5,HJC001,0,78065,Restoration,NA,NA,NA,NA,0,0,0,0,0,67362.54032
48,CA,9079d3e3-5a17-45ac-b139-9e82dcfc72f5,Sjfd7,San Juan Creek,California Region,Southwest,33.59089312,-117.501019,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.5,less than 5,10,SJC002,1,3483,Restoration,NA,NA,NA,NA,0,0,0,0,0,3005.491935
49,CA,26eecf55-9695-4f71-aae7-2951df57ad01,Hjfd16,Holy Jim Creek,California Region,Southwest,33.68876814,-117.51187,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,0.6,less than 5,5,HJC001,1,16728,Restoration,NA,NA,NA,NA,0,0,0,0,0,14434.64516
50,CA,ceef062f-0f61-484b-ab04-d16c9a5f676e,Lake Christopher Dam,Cold Creek,California Region,Southwest,NA,NA,NA,NA,NA,NA,1994,NA,water supply,earth,1,3,less than 5,1,NA,0,179770,"Safety,Restoration",NA,NA,NA,Revegetation,1,0,0,1,1,155124.1129
51,CA,e6b533ef-4d7f-408c-8ec6-c75d1550f3e3,Hjfd34.1/35,Holy Jim Creek,California Region,Southwest,33.69283114,-117.513166,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.4,less than 5,18,HJC002,1,12375,Restoration,NA,NA,NA,NA,0,0,0,0,0,10678.42742
52,CA,10c15ac0-6d90-40b8-a91c-f38ebb3f3802,Sunol Dam,Alameda Creek,California Region,Southwest,37.5944,-121.902,5,1617.84,8.358113828,36,2006,NA,water supply,unknown,,2.4,less than 5,2,AC001,1,836675,Restoration,NA,NA,NA,NA,0,0,0,0,0,721969.5565
53,CA,0ddce43e-3b11-40e7-bd50-c91df27ade4c,Scfd8,Silverado Creek,California Region,Southwest,33.75165284,-117.5710077,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,2,less than 5,4,SC001,1,87865,Restoration,NA,NA,NA,NA,0,0,0,0,0,75818.99194
54,CA,b3fbbde3-bdc2-49c6-ac47-5b315cfdc99c,Hjfd34,Holy Jim Creek,California Region,Southwest,33.69283114,-117.513166,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,2.1,less than 5,18,HJC002,1,18562,Restoration,NA,NA,NA,NA,0,0,0,0,0,16017.20968
55,CA,814657a0-d5fd-4535-bfb4-8869ffcf15a9,Sjfd3,San Juan Creek,California Region,Southwest,33.59041715,-117.501739,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.8,less than 5,10,SJC002,1,4179,Restoration,NA,NA,NA,NA,0,0,0,0,0,3606.072581
56,CA,b27a5dfa-b330-4827-b2ba-dafca1259510,Hjfd32,Holy Jim Creek,California Region,Southwest,33.69251214,-117.512698,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,2.8,less than 5,18,HJC002,1,24750,Restoration,NA,NA,NA,NA,0,0,0,0,0,21356.85484
57,CA,7469eda5-b8f9-4f2f-8253-fb19066475ca,Sjfd29,San Juan Creek,California Region,Southwest,33.59781615,-117.461799,3,53.1288,0.113663824,NA,2018,NA,recreation and resource management,masonry,3,0.4,less than 5,10,SJC002,1,929,Restoration,NA,NA,NA,NA,0,0,0,0,0,801.6370968
58,CA,08e22035-a757-46c0-b308-666778f2ed4c,Crocker Creek Dam,Crocker Creek,California Region,Southwest,38.77714,-122.959,2,8.4294,0.18060485,NA,2002,1904,recreation and resource management,concrete,3,9.1,between 5 and 10,1,NA,0,838508,Restoration,NA,NA,NA,NA,0,0,0,0,0,723551.2581
59,CA,a375c01b-8953-405d-a720-77b3d3928650,Sjfd9,San Juan Creek,California Region,Southwest,33.59079912,-117.50021,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,1.3,less than 5,10,SJC002,1,3018,Restoration,NA,NA,NA,NA,0,0,0,0,0,2604.241935
60,CA,f0345a78-b08d-4b46-911a-cbfefc7549da,Milliken Creek Dam,Milliken Creek/Napa River,California Region,Southwest,38.349033,-122.263458,2,35.3745,0.535952963,10.7,2018,NA,water supply,concrete,3,4,less than 5,1,NA,0,1492999,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,1288313.653
61,CA,771e62e2-1b40-4fb6-8f43-2fce6500ad14,Hjfd25,Holy Jim Creek,California Region,Southwest,33.69147814,-117.511602,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.2,less than 5,18,HJC002,1,10607,Restoration,NA,NA,NA,NA,0,0,0,0,0,9152.814516
62,CA,79a42bc2-a06a-497c-b74e-b13adbf35928,Hjfd30,Holy Jim Creek,California Region,Southwest,33.69219014,-117.512136,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.2,less than 5,18,HJC002,1,10607,Restoration,NA,NA,NA,NA,0,0,0,0,0,9152.814516
63,CA,98dde6c6-8ac7-4b21-b75e-f185a7ab6c62,Scfd7,Silverado Creek,California Region,Southwest,33.75138867,-117.5711196,2,10.197,0.063146569,NA,2017,NA,recreation and resource management,masonry,3,2,less than 5,4,SC001,1,87865,Restoration,NA,NA,NA,NA,0,0,0,0,0,75818.99194
64,CA,3326771f-758f-4a41-9eec-8a38da6257de,Tucker Road Ford,Soquel Creek,California Region,Southwest,37.09985,-121.958,2,24.5025,0.471418869,NA,2006,NA,other,concrete,3,1.5,less than 5,1,NA,0,669559,Restoration,NA,NA,Bridges,NA,1,0,1,0,1,577764.621
65,CA,a04c8d83-c160-4062-aa6c-5aaeadb0b3ca,Hjfd17,Holy Jim Creek,California Region,Southwest,33.68884714,-117.511854,2,8.2764,0.052046365,NA,2017,NA,recreation and resource management,masonry,3,1.2,less than 5,5,HJC001,1,33456,Restoration,NA,NA,NA,NA,0,0,0,0,0,28869.29032
66,CA,2e3e7eb6-761c-4cbf-836a-34a0663960a3,Percolation Dam,Putah Creek,California Region,Southwest,38.52162,-121.965,5,1724.2227,24.51420593,41,2009,NA,water supply,unknown,,NA,unknown,1,NA,0,588780,Restoration,NA,NA,NA,NA,0,0,0,0,0,508060.1613
67,CA,bdd09ae2-ef8b-4006-b1e6-af0d273602ef,Mcpherrin Dam,Butte Creek,California Region,Southwest,39.44674,-121.874,5,875.1735,17.93985525,NA,1998,NA,water supply,concrete ,3,3.7,less than 5,4,BC001,0,5987249,Restoration,NA,NA,WaterSupply,NA,1,0,1,0,1,5166416.476
68,CA,ae620f4d-fa84-4c93-8f93-d5be26ac8c03,Hjfd29,Holy Jim Creek,California Region,Southwest,33.69223914,-117.512096,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.8,less than 5,18,HJC002,1,15911,Restoration,NA,NA,NA,NA,0,0,0,0,0,13729.65323
69,CA,ad1a4b57-a3c7-4e98-a618-b8f29a102f44,Western Canal Main Dam,Butte Creek,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,water supply,unknown,,3,less than 5,4,BC001,1,4854526,Restoration,NA,NA,"CofferDam,WaterSupply",NA,2,0,2,0,2,4188986.145
70,CA,fd4e0e11-28cc-481d-8e77-4f7b6679cb02,Western Canal East Dam,Butte Creek,California Region,Southwest,NA,NA,NA,NA,NA,NA,1998,NA,water supply,unknown,,3,less than 5,4,BC001,1,4854526,Restoration,NA,NA,"CofferDam,WaterSupply",NA,2,0,2,0,2,4188986.145
71,CA,edf94bbb-eb76-4783-99d1-4ad3008095ab,Sjfd2,San Juan Creek,California Region,Southwest,33.59029615,-117.501792,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,0.8,less than 5,4,SJC001,1,3972,Restoration,NA,NA,NA,NA,0,0,0,0,0,3427.451613
72,CA,72f556a7-115d-4f2d-806f-f619db5b9818,Bear Creek Dam #3,Bear Creek (San Francisquito Creek),California Region,Southwest,37.41515,-122.243,3,30.5856,0.488748779,NA,2012,NA,water supply,"concrete, masonry",3,2.1,less than 5,1,NA,0,36166,Restoration,NA,NA,NA,NA,0,0,0,0,0,31207.75806
73,CA,02a6e98b-7530-4543-83be-302cff6871c3,Hjfd37,Holy Jim Creek,California Region,Southwest,33.69300514,-117.513562,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,0.9,less than 5,18,HJC002,1,7955,Restoration,NA,NA,NA,NA,0,0,0,0,0,6864.395161
74,CA,764ed549-927a-4624-80d8-ca284ca88917,Hjfd33,Holy Jim Creek,California Region,Southwest,33.69276614,-117.51287,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,2,less than 5,18,HJC002,1,17679,Restoration,NA,NA,NA,NA,0,0,0,0,0,15255.26613
75,CA,28393e32-dd00-4984-b7ac-fa3f1cd1d837,Sjfd10,San Juan Creek,California Region,Southwest,33.59066713,-117.4999048,3,72.2592,0.156025827,NA,2018,NA,recreation and resource management,masonry,3,0.6,less than 5,4,SJC001,1,2979,Restoration,NA,NA,NA,NA,0,0,0,0,0,2570.58871
76,CA,c5f00e1d-07bf-4cad-99ce-1cbfd8b78731,Lagunita Diversion Dam,San Francisquito Creek,California Region,Southwest,37.4234,-122.1742,NA,NA,NA,NA,2018,1900,water supply,concrete,3,2.4,less than 5,1,NA,0,4209960,Restoration,NA,NA,RiverHabFeature,Revegetation,2,0,1,1,2,3632788.065
77,CA,002fc655-8af0-4f1c-a462-d3643330f08e,Hjfd26,Holy Jim Creek,California Region,Southwest,33.69156214,-117.511527,2,4.4946,0.036160614,NA,2018,NA,recreation and resource management,masonry,3,1.8,less than 5,18,HJC002,1,15911,Restoration,NA,NA,NA,NA,0,0,0,0,0,13729.65323
78,CA,d792af63-c979-4222-93f3-c2105531cf0c,Lost Man Dam,Lost Man Creek,California Region,Southwest,41.3305,-124.0232,3,31.365,1.476893472,NA,1989,1936,water supply,unknown,,1.8,less than 5,1,NA,0,73870,NA,NA,NA,NA,NA,0,0,0,0,0,63742.66129
79,CO,a555bfdf-8780-4355-98a3-860bd487fabe,Hidden Treasure Dam,Henson Creek,Upper Colorado Region,Southwest,38.020965,-107.378842,3,170.9505,3.040917882,24,2019,NA,power,"concrete, earth",2,25,greater than 10,1,NA,0,947695,Safety,"ErosionControl,Sed removal",NA,Other,StrucRemovalSafety,4,2,1,1,4,1067403.842
80,CO,898e8a92-101f-4fdd-845c-921265071575,Bluebird Dam,Ouzel Creek,Missouri Region,Southwest,40.192599,-105.652584,1,3.087,0.063627955,NA,1990,NA,water supply,concrete,3,17.1,greater than 10,1,NA,0,8458537,"Safety,Restoration",NA,NA,NA,Revegetation,1,0,0,1,1,9526983.779
81,CO,291226a9-edd9-4083-aa33-8bf0f51130dd,Chipeta Dam,North Fork Gunnison River,Upper Colorado Region,Southwest,38.784484,-107.743918,5,2402.0577,17.51009046,41.5,2006,1940,other,concrete,3,1.5,less than 5,1,NA,0,181019,Restoration,NA,NA,NA,NA,0,0,0,0,0,203884.5579
82,CT,6f2a48d9-573b-4fbd-a4de-31d4c3174ec2,Norton Paper Mill Dam,Jeremy River,New England Region,Northeast,41.5802,-72.4017,3,112.0689,2.39152763,19.5,2016,1726,power,concrete,3,6.1,between 5 and 10,1,NA,0,823477,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,772912.6228
83,CT,db222da8-8eff-46fd-8b54-586e01768362,Old Papermill Pond Dam,East Aspetuck,New England Region,Northeast,41.607868,-73.411926,2,65.4426,1.374414803,20.3,2019,NA,power,concrete,3,3,less than 5,1,NA,0,353618,"Safety,Restoration",ErosionControl,0,NA,"Revegetation,Fish.Passage,StrucRemovalSafety,Access.Roads",6,1,0,4,5,331904.614
84,CT,75390920-9fec-42c8-8a9d-c6cbc616bd10,Spoonville Dam ,Farmington River,New England Region,Northeast,41.90124,-72.7568,5,1492.9416,34.29685538,49.5,2012,1899,power,concrete,3,7.6,between 5 and 10,1,NA,0,843885,Restoration,NA,NA,NA,NA,0,0,0,0,0,792067.5
