,state,feature_id,dam_name,stream_name,watershed_huc2,region,latitude,longitude,StrOrder,TotDA.SqKm,AvgAnnualQ.CS,dam_length_m,Removal_year,Built_year,DamPurpose,DamMaterial,DamMaterialCat,dam_height_m,HtCategory,number_removed_project,project_identifier,multi_dam_flag,DR_Cost,RemovalReason,SedimentManagement,ContaminatedSediment,MitigationDrivers,PostRemovalDrivers,TOTAL_DRIVERS,SD_score,MD_score,PR_score,Tot_Drivers,CostEst_StAdj
293,MN,14e97c25-0168-4fae-ad0f-fa48bcd021f8,Kidder Dam,Red River Of The North,Souris-Red-Rainy Region,Midwest,46.287439,-96.601325,5,10072.656,11.09162402,25.7,2000,1927,"power, water supply",cement,3,1.5,less than 5,1,NA,0,184342,"Safety,Restoration",NA,NA,"RiverHabFeature,BankProtection",ReshapeTopography,3,0,2,1,3,177699.045
294,MN,6593de7d-9675-4185-bd6a-e39370377cfe,Fargo South Dam,Red River Of The North,Souris-Red-Rainy Region,Midwest,46.831703,-96.791439,6,28372.0968,15.82931569,41,2003,1933,water supply,"cement, concrete",3,1.2,less than 5,1,NA,0,1628444,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,1569761.333
295,MN,6e748688-99c0-4bbd-beb5-ebec787a3eb9,Dawson Dam,West Branch Lac Qui Parle River,Upper Mississippi Region,Midwest,44.92976,-96.05049,5,1220.4288,1.382570055,23.5,2009,1913,water supply,unknown,,2.4,less than 5,1,NA,0,846696,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,816184.4324
296,MN,dc9165ce-a847-4fda-aafa-e725b0e05a0d,Buffalo State Park Dam,Buffalo River,Souris-Red-Rainy Region,Midwest,46.863997,-96.4664,4,922.1013,1.246649189,22.5,2002,1937,water supply,"cement, masonry",3,1.1,less than 5,1,NA,0,109371,"Safety,Restoration",NA,NA,"RiverHabFeature,BankProtection",NA,2,0,2,0,2,105429.7027
297,MN,2f2c48f0-fe6a-4400-932e-3720164dfb1e,Marsh Lake Dam,Minnesota River,Upper Mississippi Region,Midwest,45.17124,-96.09411,7,7427.8656,6.279883793,35.3,2018,1938,flood control,"concrete, earth",2,8.5,between 5 and 10,1,NA,0,13608694,Restoration,NA,NA,NA,NA,0,0,0,0,0,13118290.61
298,MN,ac91cc4c-ab2d-4838-954b-7410709c1adf,Sandstone Dam,Kettle River,Upper Mississippi Region,Midwest,46.1077,-92.8632,5,2216.5857,14.12602903,NA,1995,1908,power,"cement, masonry",3,6.1,between 5 and 10,1,NA,0,453502,Safety,ErosionControl,0,NA,NA,2,1,0,0,1,437159.5856
299,MN,43fbd3a6-c3c5-4096-b911-a1fd1ad55022,Roseau Dam,Roseau River,Souris-Red-Rainy Region,Midwest,48.851456,-95.761639,5,1221.3702,1.866335069,23,2001,NA,water supply,"cement, concrete",3,1.5,less than 5,1,NA,0,75072,"Safety,Restoration",NA,NA,NA,ReshapeTopography,1,0,0,1,1,72366.7027
300,MN,c873e877-19e2-42f8-aa98-a8293cd30514,Riverside Dam,Red River,Souris-Red-Rainy Region,Midwest,47.941997,-97.048219,7,64103.1795,67.76957725,89,2001,NA,water supply,cement,3,4,less than 5,1,NA,0,8820960,"Safety,Restoration",NA,NA,BankProtection,ReshapeTopography,2,0,1,1,2,8503087.568
301,MN,b2abd8cd-63d1-484c-9da3-89d7ed0b2c92,Breckenridge Water Plant Dam,Otter Tail River,Souris-Red-Rainy Region,Midwest,46.268156,-96.588936,4,5117.1075,7.429491147,NA,2000,NA,water supply,"cement, concrete",3,0.6,less than 5,1,NA,0,97022,"Safety,Restoration",NA,NA,NA,NA,0,0,0,0,0,93525.71171
302,MN,57afd485-a4ce-492e-8708-1a3140795666,Sauk River Dam,Sauk River,Upper Mississippi Region,Midwest,45.584885,-94.18523,5,3663.2286,6.619855858,41,2017,NA,recreation and resource management,unknown,,NA,less than 5,1,NA,0,450309,Restoration,NA,NA,BankProtection,Revegetation,2,0,1,1,2,434081.6486
303,MN,baba7b43-66c1-4bdc-b6a9-21f2ea612a2b,Montevideo Dam,Chippewa River,Upper Mississippi Region,Midwest,44.948428,-95.730067,5,12851.1342,7.964339754,38,2012,1958,water supply,"cement, concrete",3,4.9,less than 5,1,NA,0,482220,"Safety,Restoration",NA,NA,RiverHabFeature,NA,1,0,1,0,1,464842.7027
